nombre	tipo	tipo_c	fase	tag-url		
Imagen de localización y tipos de aprovechamiento	1	1	Construcción	localizacion		
Datos generales del componente 	5	1	Construcción	localizacion		
Descripción general del componente	7	1	Construcción	generales		
Lista de tipos de cobertura y abreviaturas	3	1	Construcción	localizacion		
Lista de zonificación y abreviaturas	3	1	Construcción	localizacion		
Tipos de aprovechamiento por tipo de cobertura y zonificación	6	1	Construcción	localizacion		
Desmonte, despalme, excavación y relleno por tipo de cobertura y zonificación	6	1	Construcción	localizacion		
Procesos constructivos por tipo de cobertura	6	1	Construcción	localizacion		
Descripción de procesos constructivos 	7	1	Construcción	localizacion		
Insumos requeridos	5	1	Construcción	localizacion		
Uso de sustancias químicas peligrosas por cobertura y zonificación	6	1	Construcción	localizacion		
Maquinaria por cobertura y zonificación 	6	1	Construcción	localizacion		
Personal requerido	6	1	Construcción	localizacion		
Generación de residuos por zonificación 	6	1	Construcción	localizacion		
Consumo de agua 	5	1	Construcción	localizacion		
Generación de aguas residuales	5	1	Construcción	localizacion		
Tipos de construcciónedificación por tipo de cobertura	6	2	Construcción	localizacion		
Descripción de sistemas constructivos 	7	2	Construcción	localizacion		
Superficie de obras provisionales temporales	5	3	Construcción	localizacion		
Frecuencia de actividades de obras provisionales	5	3	Construcción	actividades		
Listado florístico en el módulo	5	4	Construcción	localizacion		
Longitud de obra de obras lineales	5	5	Construcción	localizacion		
