nombre	tipo	tipo_c	fase	tag-url	orden
Imagen de localización y tipos de aprovechamiento	1	1	Construcción	localizacion	1
Datos generales del componente	5	1	Construcción	datosgenerales	2
Descripción general del componente	7	1	Construcción	generales	3
Tipos de aprovechamiento por tipo de cobertura y zonificación	6	1	Construcción	pendiente	4
Tipos de construcción-edificación por tipo de cobertura	6	2	Construcción	pendiente	5
Procesos constructivos por tipo de cobertura	6	1	Construcción	pendiente	6
Selección de procesos constructivos	7	1	Construcción	selecprocesos	7
Superficie de obras o edificaciones provisionales temporales	5	3	Construcción	obrastemporales-list	8
Frecuencia de actividades de obras provisionales	5	3	Construcción	actividades-list	9
Insumos requeridos por zonificación	5	1	Construcción	insumo-list	10
Uso de sustancias químicas peligrosas por cobertura y zonificación	6	1	Construcción	pendiente	11
Maquinaria por zonificación	6	1	Construcción	maquinaria-list	12
"Desmonte, despalme, excavación y relleno por tipo de zonificación"	6	1	Construcción	mtierra-list	13
Personal requerido por zonificación	6	1	Construcción	personal-list	14
Generación de residuos sólidos por zonificación	6	1	Construcción	pendiente	15
Consumo de agua	5	1	Construcción	consumoagua-list	16
Generación de aguas residuales	5	1	Construcción	aguaresidual-list	17
Selección de sistemas constructivos	7	1	Construcción	selecsistemas	18
Listado florístico	5	4	Construcción	flor-list	19
Longitud de obras lineales	5	5	Construcción	obraslineales-list	20
Selección de vehículos restringidos por zonificación o tipo de cobertura	5	4	Construcción	pendiente	21
Imagen de localización 	1	1	Operación	localizacion	22
Descripción general del componente	7	1	Operación	datosgenerales	23
Frecuencia de actividades por componente por etapa	5	1	Operación	actividadf-list	24
Insumos requeridos y almacenados	5	1	Operación	insreqalm-list	25
Uso de sustancias químicas peligrosas 	5	1	Operación	usosusquim-list	26
Personal	5	1	Operación	personale-list	27
Consumo de agua	5	1	Operación	consumoagua-list	28
Generación de aguas residuales	5	1	Operación	aguaresidual-list	29
Generación de residuos sólidos	5	1	Operación	pendiente	30
Uso de maquinaria	5	1	Operación	pendiente	31
Selección de vehículos restringidos por zonificación o tipo de cobertura	5	1	Operación	pendiente	32
Aforo y almacenamiento vehicular en este componente para esta etapa	5	1	Operación	pendiente	33
"Frecuencia de actividades de servicios, comerciales, recreativas o culturales "	5	9	Operación	pendiente	34
Ocupación estimada en componentes con alojamiento	5	8	Operación	pendiente	35
Aforo máximo de visitantes por actividad 	5	9	Operación	pendiente	36
Aforo vehicular máximo diario por tipo de vehículo	5	7	Operación	pendiente	37
Aforo vehicular total por tipo de vehículo	5	7	Operación	pendiente	38
Personal transportado mínimo-máximo diario por fase	5	7	Operación	pendiente	39
Manejo de sustancias químicas peligrosas en instalaciones especiales	5	6	Operación	pendiente	40
Capacidad de almacenamiento de sustancias químicas peligrosas en instalaciones especiales	5	6	Operación	pendiente	41
Capacidad de almacenamiento de residuos peligrosos en instalaciones especiales	5	6	Operación	pendiente	42
Frecuencia de ingreso de sustancias peligrosas  en instalaciones especiales	5	6	Operación	pendiente	43
Frecuencia de egreso de sustancias peligrosas en instalaciones especiales	5	6	Operación	pendiente	44
Maquinaria y viajes para el suministro de sustancias 	5	6	Operación	pendiente	45
Tratamiento de aguas residuales por PTAR	5	10	Operación	pendiente	46
Velocidad de extracción de agua	5	5	Operación	pendiente	47
